課-序號,序號,生詞,漢拼,詞類,英譯,越譯,冊
1-1,1,陳月美,Chén Yuèměi,,a woman from Vietnam,một phụ nữ từ Việt Nam,1
1-1,2,李明華,Lǐ Mínghuá,,a man from Taiwan ,một người đàn ông từ Đài Loan,1
1-1,3,王開文,Wáng Kāiwén,,a man from the US,một người đàn ông từ Mỹ,1
1-1,4,你,nǐ,N,you,bạn,1
1-1,5,來,lái,V,to come,đến,1
1-1,6,是,shì,åVst,to be,là,1
1-1,7,小姐,xiǎojiě,N,"Miss, Ms.","cô, chị",1
1-1,8,嗎,ma,Ptc,sentence final particle,trợ từ cuối câu,1
1-1,9,接,jiē,V,to pick sb up,đón ai đó,1
1-1,10,我們,wǒmen,N,"we, us","chúng tôi, chúng ta",1
1-1,11,我,wǒ,N,"I, me","tôi, tớ",1
1-1,12,這,zhè/zhèi,Det,this,"này, cái này",1
1-1,13,先生,xiānshēng,N,Mr. ,"ông, ngài",1
1-1,14,好,hǎo ,Vs,"fine, well","tốt, khỏe",1
1-1,15,姓,xìng,Vst,to be surnamed,họ,1
1-1,16,叫,jiào,Vst,"to be called, i.e., to have the first name xx","được gọi, tên là",1
1-1,17,你們,nǐmen,N,you (plural),các bạn,1
1-1,18,臺灣(=台灣),Táiwān,,Taiwan,Đài Loan,1
1-1,19,歡迎,huānyíng,,welcome,hoan nghênh,1
1-1,20,請問,qǐngwèn,,"May I ask you…, Excuse me,…",xin hỏi...,1
1-1,21,是的,shìde,,yes,"vâng, dạ",1
1-1,22,謝謝,xièxie,,Thank you.,cảm ơn,1
1-1,23,不客氣,búkèqì,,You’re welcome.,không có gì,1
1-1,24,你好,nǐ hǎo,,How are you?Hello. ,Xin chào,1
1-2,1,請,qǐng,V,please,xin mời,1
1-2,2,喝,hē,V,to drink,uống,1
1-2,3,茶,chá,N,tea,trà,1
1-2,4,很,hěn,Adv,very,rất,1
1-2,5,好喝,hǎohē,Vs,(lit. good to drink) to taste good,(nghĩa đen: uống ngon) ngon,1
1-2,6,什麼,shénme,N,what,cái gì,1
1-2,7,人,rén,N,"person, people",người,1
1-2,8,喜歡,xǐhuān,Vst,to like,thích,1
1-2,9,呢,ne,Ptc,sentence final particle,trợ từ cuối câu,1
1-2,10,他,tā,N,"he, him","anh ấy, cậu ấy",1
1-2,11,不,bù,Adv,not,không,1
1-2,12,哪,nǎ/něi,Det,which,nào,1
1-2,13,要,yào,Vaux,to want to,muốn,1
1-2,14,咖啡,kāfēi,N,coffee,cà phê,1
1-2,15,烏龍茶,Wūlóng chá,,Oolong tea,trà Ô Long,1
1-2,16,日本,Rìběn,,Japan,Nhật Bản,1
1-2,17,美國,Měiguó,,America,Mỹ,1
1-2,18,對不起,duìbùqǐ,,I’m sorry.,Tôi xin lỗi,1
1-2,19,哪國,nǎ guó/něi guó,,Which country?,Nước nào?,1
2-1,1,張怡君,Zhāng Yíjūn,,a woman from Taiwan,một phụ nữ từ Đài Loan,1
2-1,2,馬安同,Mǎ āntóng,,a man from the Republic of Honduras ,một người đàn ông từ Cộng hòa Honduras,1
2-1,3,的,de,Ptc ,modification marker,trợ từ sở hữu,1
2-1,4,家人,jiārén,N,family (members),gia đình (các thành viên),1
2-1,5,家,jiā,N,"home, house",nhà,1
2-1,6,漂亮,piàoliàng,Vs,pretty,xinh đẹp,1
2-1,7,房子,fángzi,N,house,nhà,1
2-1,8,坐,zuò,Vi,to sit,ngồi,1
2-1,9,好,hǎo,Ptc,OK,OK,1
2-1,10,有,yǒu,Vst,to have,có,1
2-1,11,多,duō,Vs-pred,many,nhiều,1
2-1,12,照片,zhàopiàn,N,photo,ảnh,1
2-1,13,都,dōu,Adv,"all, both","đều, cả",1
2-1,14,照相,zhàoxiàng,V-sep,to take a photo,chụp ảnh,1
2-1,15,張,zhāng,M,"measure word for flat objects (e.g., paper, tickets)","lượng từ cho vật phẳng (ví dụ: giấy, vé)",1
2-1,16,好看,hǎokàn,Vs,good-looking,ưa nhìn,1
2-1,17,誰,shéi,N,who,ai,1
2-1,18,姐姐 ,jiějie,N,older sister,chị gái,1
2-1,19,妹妹,mèimei ,N,younger sister,em gái,1
2-1,20,爸爸,bàba,N,dad,bố,1
2-1,21,媽媽,māma,N,mom,mẹ,1
2-1,22,請進,qǐng jìn,,Please come in!,Mời vào!,1
2-2,1,田中誠一,Tiánzhōng Chéngyī,,a man form Japan,một người đàn ông từ Nhật Bản,1
2-2,2,伯母,bómǔ,N,aunt; here a polite term for a friend’s mother regardless of age,"bác, dì; ở đây là từ lịch sự chỉ mẹ của bạn bè bất kể tuổi tác",1
2-2,3,您,nín,N,you (honorific),bạn (kính ngữ),1
2-2,4,名字,míngzi,N,name,tên,1
2-2,5,書,shū,N,book,sách,1
2-2,6,哥哥,gēge,N,older brother,anh trai,1
2-2,7,老師,lǎoshī,N,teacher,giáo viên,1
2-2,8,看書,kànshū,V-sep,to read,đọc sách,1
2-2,9,幾,jǐ,N,how many,"mấy, bao nhiêu",1
