課-序號,序號,生詞,漢拼,詞類,越譯,泰譯,緬譯,日譯,韓譯,韓譯,冊
1-1,1,陳月美,Chén Yuèměi,,một phụ nữ Việt Nam,ผู้หญิงเวียดนาม (phu ying wiat nam),ဗီယက်နမ်အမျိုးသမီး (viet nam a myo tha mee),ベトナム出身の女性 (Betonamu shusshin no josei),베트남 여자 (beteunam yeoja),,1
1-1,2,李明華,Lǐ Mínghuá,,một người đàn ông Đài Loan,ผู้ชายไต้หวัน (phu chai tai wan),ထိုင်ဝမ်အမျိုးသား (tai wan a myo tha),台湾出身の男性 (Taiwan shusshin no dansei),대만 남자 (daeman namja),,1
1-1,3,王開文,Wáng Kāiwén,,một người đàn ông Mỹ,ผู้ชายอเมริกัน (phu chai a me ri kan),အမေရိကန်အမျိုးသား (a may ri kan a myo tha),アメリカ出身の男性 (Amerika shusshin no dansei),미국 남자 (miguk namja),,1
1-1,4,你,nǐ,N,bạn / anh / chị,คุณ (khun),ခင်ဗျား (khin byar) / ရှင် (shin),あなた (anata),당신 / 너 (dangsin / neo),,1
1-1,5,來,lái,V,đến,มา (ma),လာသည် (lar thi),来る (kuru),오다 (oda),,1
1-1,6,是,shì,Vst,là,เป็น / คือ (pen / khue),ဖြစ်သည် (pyit thi),～です (desu),이다 (ida),,1
1-1,7,小姐,xiǎojiě,N,Cô,คุณ / นางสาว (khun / nang sao),မ (ma),～さん (san),~양 / ~씨 (yang / ssi),,1
1-1,8,嗎,ma,Ptc,trợ từ cuối câu,คำลงท้าย (kham long thai),ဝါကျအဆုံးသတ်ပစ္စည်း (war kya a sone that pyit see),終助詞 (shūjoshi),종결 어미 (jonggyeol eomi),,1
1-1,9,接,jiē,V,đón ai đó,ไปรับ (pai rap),သွားကြိုသည် (thwar kyo thi),迎えに行く (mukae ni iku),마중 나가다 (majung nagada),,1
1-1,10,我們,wǒmen,N,chúng tôi / chúng ta,พวกเรา (phuak rao),ကျွန်တော်တို့ (kyan naw toe),私たち (watashitachi),우리 (uri),,1
1-1,11,我,wǒ,N,tôi,ฉัน / ผม (chan / phom),ကျွန်တော် (kyan naw) / ကျွန်မ (kyan ma),私 (watashi),저 / 나 (jeo / na),,1
1-1,12,這,zhè/zhèi,Det,cái này / đây,นี่ (nee),ဒီ (de),これ (kore),이것 (igeot),,1
1-1,13,先生,xiānshēng,N,Ông / Anh,คุณ / นาย (khun / nai),ဦး / ကို (u / ko),～さん (san),~씨 / ~군 (ssi / gun),,1
1-1,14,好,hǎo ,Vs,khỏe / tốt,สบายดี (sabai dee),နေကောင်းသည် (nay kaung thi),元気 (genki),잘 / 안녕하다 (jal / annyeonghada),,1
1-1,15,姓,xìng,Vst,họ là,แซ่ (sae),အမည်(မျိုးရိုး)ရှိသည် (a myin shi thi),姓は～です (sei wa ~ desu),성이 ~이다 (seong-i ~ida),,1
1-1,16,叫,jiào,Vst,tên là / gọi là,ชื่อ / เรียกว่า (chue / riak wa),ခေါ်သည် (khaw thi),～と言う (to iu),~라고 부르다 (rago bureuda),,1
1-1,17,你們,nǐmen,N,các bạn,พวกคุณ (phuak khun),ခင်ဗျားတို့ (khin byar toe),あなたたち (anatatachi),당신들 (dangsindeul),,1
1-1,18,臺灣(=台灣),Táiwān,,Đài Loan,ไต้หวัน (tai wan),ထိုင်ဝမ် (tai wan),台湾 (Taiwan),대만 (daeman),,1
1-1,19,歡迎,huānyíng,,chào mừng,ยินดีต้อนรับ (yin dee ton rap),ကြိုဆိုပါ၏ (kyo so par e),ようこそ (yōkoso),환영하다 (hwanyeonghada),,1
1-1,20,請問,qǐngwèn,,Xin hỏi...,ขอถามหน่อย... (kho tham noi),မေးပါရစေ (may par ya say),お尋ねしますが (otazune shimasu ga),말씀 좀 묻겠습니다 (malsseum jom mutgesseumnida),,1
1-1,21,是的,shìde,,vâng / phải,ใช่ / ครับ / ค่ะ (chai / khrap / kha),ဟုတ်ကဲ့ (hoke kae),はい (hai),네 / 예 (ne / ye),,1
1-1,22,謝謝,xièxie,,Cảm ơn.,ขอบคุณ (khop khun),ကျေးဇူးတင်ပါတယ် (kyay zu tin par tal),ありがとうございます (arigatō gozaimasu),감사합니다 (gamsahamnida),,1
1-1,23,不客氣,búkèqì,,Không có chi.,ไม่เป็นไร (mai pen rai),ရပါတယ် (ya par tal),どういたしまして (dōitashimashite),천만에요 (cheonmaneyo),,1
1-1,24,你好,nǐ hǎo,,Bạn khỏe không? Xin chào.,สบายดีไหม / สวัสดี (sabai dee mai / sawatdee),နေကောင်းလား / မင်္ဂလာပါ (nay kaung lar / mingalar par),お元気ですか / こんにちは (ogenki desu ka / konnichiwa),잘 지내세요? / 안녕하세요 (jal jinaeseyo / annyeonghaseyo),,1
1-2,1,請,qǐng,V,làm ơn / mời,กรุณา / เชิญ (karuna / choen),ကျေးဇူးပြု၍ (kyay zu pyu yue),お願いします (onegaishimasu),제발 / 부탁합니다 (jebal / butakamnida),,1
1-2,2,喝,hē,V,uống,ดื่ม (duem),သောက်သည် (thauk thi),飲む (nomu),마시다 (masida),,1
1-2,3,茶,chá,N,trà,ชา (cha),လက်ဖက်ရည် (lat hpet yay),お茶 (ocha),차 (cha),,1
1-2,4,很,hěn,Adv,rất,มาก (mak),သိပ် (thate),とても (totemo),매우 / 아주 (maeu / aju),,1
1-2,5,好喝,hǎohē,Vs,ngon (uống),อร่อย (a roi),သောက်လို့ကောင်း (thauk lo kaung),美味しい (oishii),맛있다 (masitda),,1
1-2,6,什麼,shénme,N,cái gì,อะไร (a rai),ဘာ (bar),何 (nani),무엇 (mueot),,1
1-2,7,人,rén,N,người,คน (khon),လူ (lu),人 (hito),사람 (saram),,1
1-2,8,喜歡,xǐhuān,Vst,thích,ชอบ (chop),ကြိုက်သည် (kyaik thi),好き (suki),좋아하다 (joahada),,1
1-2,9,呢,ne,Ptc,trợ từ cuối câu,คำลงท้าย (kham long thai),ဝါကျအဆုံးသတ်ပစ္စည်း (war kya a sone that pyit see),終助詞 (shūjoshi),종결 어미 (jonggyeol eomi),,1
1-2,10,他,tā,N,anh ấy,เขา (khao),သူ (thu),彼 (kare),그 (geu),,1
1-2,11,不,bù,Adv,không,ไม่ (mai),မ (ma - prefix),～ない (nai),아니다 / 안 (anida / an),,1
1-2,12,哪,nǎ/něi,Det,nào,ไหน (nai),ဘယ် (bal),どの (dono),어느 (eoneu),,1
1-2,13,要,yào,Vaux,muốn,อยาก (yak),ချင် (chin),～したい (shitai),원하다 / ~고 싶다 (wonhada / go sipda),,1
1-2,14,咖啡,kāfēi,N,cà phê,กาแฟ (ka fae),ကော်ဖီ (kaw fi),コーヒー (kōhī),커피 (keopi),,1
1-2,15,烏龍茶,Wūlóng chá,,trà Ô long,ชาอูหลง (cha u long),အူလောင်လက်ဖက်ရည် (u laung lat hpet yay),ウーロン茶 (ūroncha),우롱차 (urongcha),,1
1-2,16,日本,Rìběn,,Nhật Bản,ญี่ปุ่น (yi pun),ဂျပန် (ja pan),日本 (nihon),일본 (ilbon),,1
1-2,17,美國,Měiguó,,Mỹ,อเมริกา (a me ri ka),အမေရိကန် (a may ri kan),アメリカ (amerika),미국 (miguk),,1
1-2,18,對不起,duìbùqǐ,,Xin lỗi.,ขอโทษ (kho thot),တောင်းပန်ပါတယ် (taung pan par tal),すみません (sumimasen),미안합니다 / 죄송합니다 (mianhamnida / joesonghamnida),,1
1-2,19,哪國,nǎ guó/něi guó,,Nước nào?,ประเทศไหน (pra thet nai),ဘယ်နိုင်ငံ (bal naing ngan),どこの国 (doko no kuni),어느 나라 (eoneu nara),,1
2-1,1,張怡君,Zhāng Yíjūn,,phụ nữ Đài Loan,ผู้หญิงไต้หวัน (phu ying tai wan),ထိုင်ဝမ်အမျိုးသမီး (tai wan a myo tha mee),台湾出身の女性 (Taiwan shusshin no josei),대만 여자 (daeman yeoja),,1
2-1,2,馬安同,Mǎ āntóng,,đàn ông Honduras,ผู้ชายฮอนดูรัส (phu chai hon du rat),ဟွန်ဒူးရပ်စ်အမျိုးသား (hon du ras a myo tha),ホンジュラス共和国の男性 (Honjurasu kyōwakoku no dansei),온두라스 남자 (onduraseu namja),,1
2-1,3,的,de,Ptc ,trợ từ sở hữu/bổ nghĩa,คำขยาย / ของ (kham kha yai / khong),၏ (e),の (no),의 (ui),,1
2-1,4,家人,jiārén,N,gia đình (người nhà),ครอบครัว (khrop khrua),မိသားစု (mi thar su),家族 (kazoku),가족 (gajok),,1
2-1,5,家,jiā,N,nhà,บ้าน (ban),အိမ် (ein),家 (ie),집 (jip),,1
2-1,6,漂亮,piàoliàng,Vs,xinh đẹp,สวย (suai),လှသည် (hla thi),きれい (kirei),예쁘다 (yeppeuda),,1
2-1,7,房子,fángzi,N,ngôi nhà,บ้าน (ban),အိမ် (ein),家 (ie),집 (jip),,1
2-1,8,坐,zuò,Vi,ngồi,นั่ง (nang),ထိုင်သည် (htaing thi),座る (suwaru),앉다 (anda),,1
2-1,9,好,hǎo,Ptc,được / OK,โอเค / ตกลง (o khe / tok long),ဟုတ်ကဲ့ (hoke kae),OK / 大丈夫 (OK / daijōbu),오케이 / 괜찮다 (okei / gwaenchanta),,1
2-1,10,有,yǒu,Vst,có,มี (mee),ရှိသည် (shi thi),ある / いる (aru / iru),있다 (itda),,1
2-1,11,多,duō,Vs-pred,nhiều,มาก / เยอะ (mak / yoe),များ (myar),多い (ōi),많다 (manta),,1
2-1,12,照片,zhàopiàn,N,bức ảnh,รูปถ่าย (rup thai),ဓာတ်ပုံ (dat pone),写真 (shashin),사진 (sajin),,1
2-1,13,都,dōu,Adv,tất cả / cả hai,ทั้งหมด / ทั้งสอง (thang mot / thang song),အားလုံး (ar lone),みんな / 両方 (minna / ryōhō),모두 / 둘 다 (modu / dul da),,1
2-1,14,照相,zhàoxiàng,V-sep,chụp ảnh,ถ่ายรูป (thai rup),ဓာတ်ပုံရိုက်သည် (dat pone yaik thi),写真を撮る (shashin o toru),사진을 찍다 (sajin-eul jjikda),,1
2-1,15,張,zhāng,M,tấm / tờ,ใบ / แผ่น (bai / phaen),ရွက် / ချပ် (ywet / chat),枚 (mai),장 (jang),,1
2-1,16,好看,hǎokàn,Vs,đẹp trai / ưa nhìn,ดูดี / หล่อ (du dee / lo),ကြည့်ကောင်းသည် (kyi kaung thi),かっこいい (kakkoii),잘생기다 / 멋있다 (jalsaenggida / meositda),,1
2-1,17,誰,shéi,N,ai,ใคร (khrai),ဘယ်သူ (bal thu),誰 (dare),누구 (nugu),,1
2-1,18,姐姐 ,jiějie,N,chị gái,พี่สาว (phee sao),အစ်မ (a ma),お姉さん (onēsan),언니 / 누나 (eonni / nuna),,1
2-1,19,妹妹,mèimei ,N,em gái,น้องสาว (nong sao),ညီမ (nyi ma),妹 (imōto),여동생 (yeodongsaeng),,1
2-1,20,爸爸,bàba,N,bố / ba,พ่อ (pho),အဖေ (a fay),お父さん (otōsan),아빠 / 아버지 (appa / abeoji),,1
2-1,21,媽媽,māma,N,mẹ / má,แม่ (mae),အမေ (a may),お母さん (okāsan),엄마 / 어머니 (eomma / eomeoni),,1
2-1,22,請進,qǐng jìn,,Mời vào!,เชิญเข้าข้างใน (choen khao khang nai),အထဲဝင်ပါ (a htel win par),どうぞ入ってください (dōzo haitte kudasai),들어오세요 (deureooseyo),,1
