課-序號,序號,生詞,漢拼,詞類,英譯,越譯,冊
1-1,1.        ,走,zǒu,Vi,to get to,đến được,2
1-1,2.        ,路人,lùrén,N,someone; lit. a person on the street,người qua đường,2
1-1,3.        ,幫忙,bāngmáng,V-sep,to help,giúp đỡ,2
1-1,4.        ,迷路,mílù,Vp-sep,"to be lost, to have lost directions",bị lạc,2
1-1,5.        ,下,xià,Det,next,tiếp theo,2
1-1,6.        ,路口,lùkǒu,N,intersection,ngã tư,2
1-1,7.        ,段,duàn,N,section,đoạn,2
1-1,8.        ,過,guò,V,"to go past, to cross","đi qua, băng qua",2
1-1,9.        ,第,dì,Det,used to indicate ordinal numbers,dùng để chỉ số thứ tự,2
1-1,10.     ,紅綠燈,hónglǜdēng,N,traffic light,đèn giao thông,2
1-1,11.     ,告訴,gàosù,V,to tell,"nói, bảo",2
1-1,12.     ,提款機,tíkuǎnjī,N,ATM machine,máy rút tiền,2
1-1,13.     ,超商,chāo-shāng,N,convenience store,cửa hàng tiện lợi,2
1-1,14.     ,應該,yīnggāi,Vaux,should; ought to,nên,2
1-1,15.     ,郵局,yóujú,N,post office,bưu điện,2
1-1,16.     ,提,tí,V,to withdraw (money),rút (tiền),2
1-1,17.     ,那邊,nàbiān/nèibiān,N,"over there, yonder",đằng kia,2
1-1,18.     ,師大（師範大學）, Shīdà（Shīfàn Dàxué）,,NTNU (National Taiwan Normal University),Đại học Sư phạm Đài Loan (NTNU),2
1-1,19.     ,和平東路,Hépíng Dōng Lù,,Heping East Road,Đường Hòa Bình Đông,2
1-1,20.     ,往前,wǎng qián,,"forward, ahead","về phía trước, phía trước",2
1-1,21.     ,右轉,yòu zhuǎn,,to turn right,rẽ phải,2
1-1,22.     ,聽起來,tīng qǐlái,,"to sound, sound like",nghe có vẻ,2
1-1,23.     ,看見,kànjiàn,,"to see, to have seen",nhìn thấy,2
1-2,1.        ,下載,xiàzài,V,to download,tải xuống,2
1-2,2.        ,地圖,dìtú,N,map,bản đồ,2
1-2,3.        ,好用,hǎoyòng,Vs,"easy to use, handy","dễ sử dụng, tiện lợi",2
1-2,4.        ,著,zhe,Ptc,a particle indicating progression or continuation of action,trợ từ chỉ sự tiếp diễn của hành động,2
1-2,5.        ,日用品,rìyòngpǐn,N,articles of daily use,vật dụng hàng ngày,2
1-2,6.        ,經過,jīngguò,V,to go past,đi qua,2
1-2,7.        ,巷子,xiàngzi,N,alley,ngõ hẻm,2
1-2,8.        ,餓,è,Vs,hungry,đói,2
1-2,9.        ,一邊,yìbiān,Adv,"indicates doing two things simultaneously, as, while",vừa... vừa...,2
1-2,10.     ,發現,fāxiàn,Vpt,to discover,phát hiện,2
1-2,11.     ,離,lí,Prep,(away) from,(cách xa) khỏi,2
1-2,12.     ,背包,bēibāo,N,backpack,ba lô,2
1-2,13.     ,正好,zhènghǎo,Adv,"just, happen to ","vừa vặn, tình cờ",2
1-2,14.     ,最後,zuìhòu,Adv,"in the end, finally","cuối cùng, rốt cuộc",2
1-2,15.     ,枝,zhī,M,measure word for pens,lượng từ cho bút,2
1-2,16.     ,筆,bǐ ,N,pen,bút,2
1-2,17.     ,本,běn ,M,measure word for books,lượng từ cho sách,2
1-2,18.     ,本子,běnzi,N,notebook,"vở, sổ tay",2
1-2,19.     ,左轉,zuǒ zhuǎn ,,to turn left,rẽ trái,2
1-2,20.     ,師大路上,Shīdà Lù shàng,,on Shida Road,trên đường Đại học Sư phạm,2
1-2,21.     ,麵店,miàn diàn ,,noodle shop,tiệm mì,2
2-1,1.        ,還是,háishì ,Adv,"should probably, alternatively, had better","có lẽ nên, tốt hơn là",2
2-1,2.        ,早,zǎo,Vs,Good morning.,Chào buổi sáng.,2
2-1,3.        ,約,yuē ,V,to invite someone to do something at a specific time,hẹn,2
2-1,4.        ,對面,duìmiàn ,N,"on the other side of (something), opposite",đối diện,2
2-1,5.        ,直接,zhíjiē ,Adv,directly,trực tiếp,2
2-1,6.        ,不必,búbì ,Vaux,"no need to, not necessary to",không cần phải,2
2-1,7.        ,換,huàn ,V,to transfer (transportation),chuyển (phương tiện),2
2-1,8.        ,車站,chēzhàn ,N,"bus station, train station","trạm xe, ga tàu",2
2-1,9.        ,麻煩,máfán ,Vs,troublesome,phiền phức,2
2-1,10.     ,趕快,gǎnkuài,Adv,right away; quickly (indicating urgency),"ngay lập tức, nhanh chóng (chỉ sự khẩn cấp)",2
2-1,11.     ,走,zǒu ,Vp,"to leave, to bid farewell","rời đi, chào tạm biệt",2
2-1,12.     ,班次,bāncì ,N,"number of scheduled runs (of trains, flights, boats, buses)","số chuyến (tàu, xe, máy bay)",2
2-1,13.     ,禮拜,lǐbài ,N,week,tuần,2
2-1,14.     ,見,jiàn ,V,to see,gặp,2
2-1,15.     ,電腦展,diànnǎo zhǎn,,computer show,triển lãm máy tính,2
2-1,16.     ,世貿展覽館,Shìmào Zhǎnlǎn Guǎn,,World Trade Center Exhibition Hall,Hội trường Triển lãm Trung tâm Thương mại Thế giới,2
2-1,17.     ,展覽館,zhǎnlǎn guǎn,,exhibition hall,hội trường triển lãm,2
2-1,18.     ,台北101,Táiběi 101,,"Taipei 101, the tallest building in Taiwan. It was also the tallest building in the world from 2004 to 2010.","Taipei 101, tòa nhà cao nhất Đài Loan (2004-2010)",2
2-1,19.     ,台北,Táiběi ,,Taipei,Đài Bắc,2
2-1,20.     ,2號線,èr hào xiàn,,Line 2 (of the Taipei MRT),Tuyến số 2 (MRT Đài Bắc),2
2-1,21.     ,別急,bié jí,,No need to hurry. Take your time.,Đừng vội. Cứ từ từ.,2
2-2,1.        ,飛機,fēijī ,N,airplane,máy bay,2
2-2,2.        ,轉機,zhuǎn jī ,V-sep,to transfer (flights),chuyển máy bay,2
2-2,3.        ,機場,jīchǎng ,N,airport,sân bay,2
2-2,4.        ,巴士,bāshì ,N,bus,xe buýt,2
2-2,5.        ,市區,shìqū ,N,downtown,trung tâm thành phố,2
2-2,6.        ,下,xià ,V,"to get off, alight, disembark",xuống (xe),2
2-2,7.        ,交通,jiāotōng ,N,transportation,giao thông,2
2-2,8.        ,便利,biànlì ,Vs,"convenient, handy","thuận tiện, tiện lợi",2
2-2,9.        ,到處,dàochù ,Adv,everywhere,khắp nơi,2
2-2,10.     ,路線,lùxiàn ,N,route,tuyến đường,2
2-2,11.     ,複雜,fùzá ,Vs,complicated,phức tạp,2
2-2,12.     ,輕鬆,qīngsōng ,Vs,with ease,"nhẹ nhàng, thoải mái",2
