課-序號,序號,生詞,漢拼,詞類,英譯,越譯,冊,
1-1,1,職校,zhíxiào ,N,vocational school,trường dạy nghề,6,
1-1,2,技職,jìzhí ,N,technical and vocational career,nghề nghiệp kỹ thuật và dạy nghề,6,
1-1,3,成功之處,chénggōng zhīchù,Ph,"where it has been successful, achievement","nơi đã thành công, thành tựu",6,
1-1,4,高等,gāoděng,Vs-attr,"advanced, higher (education)","trình độ cao, (giáo dục) đại học",6,
1-1,5,緊密,jǐnmì ,Vs,"tight, close","chặt chẽ, gần gũi",6,
1-1,6,連結,liánjié ,N/V,linking; to link,sự liên kết; liên kết,6,
1-1,7,爭相,zhēngxiāng ,Adv,eagerly,một cách háo hức,6,
1-1,8,典範,diǎnfàn ,N,"paragon, model, example","hình mẫu lý tưởng, mô hình, ví dụ",6,
1-1,1,放眼,fàngyǎn ,V,"looking to, looking toward","hướng tới, nhìn về phía",6,
1-1,2,出版,chūbǎn ,V,to publish,xuất bản,6,
1-1,3,總要,zǒngyào ,Vaux,to have to,"phải, có bổn phận phải",6,
1-1,4,嚴陣以待,yánzhèn yǐdài,Id,"be ready for, be standing by, lit. wait in full battle array","sẵn sàng, trong tư thế sẵn sàng",6,
1-1,5,直言,zhíyán ,V,"to speak bluntly, to state outright","nói thẳng, nói toạc ra",6,
1-1,6,分析,fēnxī ,V,to analyze,phân tích,6,
1-1,7,身為,shēnwéi ,Vst,"as, in the capacity of",với tư cách là,6,
1-1,8,文憑,wénpíng ,N,diploma,"bằng cấp, văn bằng",6,
1-1,9,一技在身,yíjì zàishēn,Id,to have a skill,có kỹ năng,6,
1-1,10,點出,diǎnchū ,V,to point out,chỉ ra,6,
1-1,11,比比皆是,bìbì jiēshì,Id,"be ubiquitous, everywhere, very common","có mặt khắp nơi, rất phổ biến",6,
1-1,12,理論,lǐlùn ,N,theory,lý thuyết,6,
1-1,13,製造業,zhìzàoyè,N,"manufacturing industry (製造, zhìzào, V, manufacturing; -業, -yè, N, industry)",ngành công nghiệp chế tạo,6,
1-1,14,上工,shànggōng ,Vi,"to start work, to work independently without supervision","bắt đầu làm việc, làm việc độc lập",6,
1-1,15,關鍵,guānjiàn ,N,"the key to, key","chìa khóa, then chốt",6,
1-1,16,案,-àn,N,case,trường hợp,6,
1-1,17,中、小型企業,"zhōng, xiǎo xíng qìyè",Ph,small and medium-sized enterprises (SMEs),các doanh nghiệp vừa và nhỏ,6,
1-1,18,投入,tóurù ,V,"to invest, to throw oneself into, carried away with","đầu tư, lao vào, bị cuốn theo",6,
1-1,19,研發,yánfā ,V,"to research and develop, research and development, R&D",nghiên cứu và phát triển,6,
1-1,20,聘請,pìnqǐng ,V,"to hire, to employ","thuê, tuyển dụng",6,
1-1,21,高階,gāojiē ,Vs-attr,"high level, advanced ","trình độ cao, cấp cao",6,
1-1,22,人才,réncái ,N,"talent, people with specialized skills","nhân tài, người có kỹ năng chuyên môn",6,
1-1,23,升級,shēngjí ,V,"to upgrade, to advance, to promote","nâng cấp, thăng tiến, quảng bá",6,
1-1,1,瑞士,Ruìshì,,Switzerland,Thụy Sĩ,6,
1-1,2,洛桑管理學院,Luòsāng guǎnlǐ xuéyuàn,,Lausanne Institute (for Management Development),Học viện Quản lý Lausanne,6,
1-1,3,葛瑞里,Gěruìlǐ,,Garelli   ,Garelli,6,
1-1,4,奧地利,Àodìlì,,Austria,Áo,6,
1-1,5,瑞典,Ruìdiǎn,,Sweden,Thụy Điển,6,
1-2,1,提到,tídào ,V,"to mention, to bring up","đề cập, nhắc đến",6,
1-2,2,成效,chéngxiào ,N,results,kết quả,6,
1-2,3,愈,yù ,Adv,the more… (the more),càng... (càng),6,
1-2,4,年度,niándù ,N,"year, annual","năm, hàng năm",6,
1-2,5,評比,píngbǐ ,N,"rating, ranking, assessment","xếp hạng, đánh giá",6,
1-2,6,品牌,pǐnpái ,N,brand,thương hiệu,6,
1-2,7,新興,xīnxīng ,Vs-attr,emerging,mới nổi,6,
1-2,8,經濟體,jīngjìtǐ ,N,"economic entity, economy","thực thể kinh tế, nền kinh tế",6,
1-2,9,進修,jìnxiū ,Vi,to pursue further studies,theo đuổi việc học cao hơn,6,
1-2,10,逐年,zhúnián ,Adv,"on a yearly basis, yearly, by the year","hàng năm, theo từng năm",6,
1-2,11,公投,gōngtóu ,Vi/N,to cast ballots on a referendum; referendum,bỏ phiếu trưng cầu dân ý; cuộc trưng cầu dân ý,6,
1-2,12,轉向,zhuǎnxiàng ,Vp,"to shift, change directions","chuyển hướng, thay đổi hướng",6,
1-2,13,自限,zìxiàn ,Vi,"to limit oneself to, confine oneself to","tự giới hạn bản thân, tự gò bó",6,
1-2,14,當初,dāngchū ,Adv,"at first, initially","ban đầu, lúc đầu",6,
1-2,15,迫使,pòshǐ ,V,to force into,ép buộc,6,
1-2,16,外,wài ,N,"outward, external, foreign, to the outside (formal)","bên ngoài, đối ngoại, ra bên ngoài",6,
1-2,17,高度,gāodù ,Adv,"highly, to a great extent","rất nhiều, ở mức độ cao",6,
1-2,18,仰賴,yǎnglài ,Vst,"to rely on, to depend on","dựa vào, phụ thuộc vào",6,
1-2,19,衰敗,shuāibài ,Vs,"to decline, deteriorate","suy giảm, xuống cấp",6,
1-2,20,保有,bǎoyǒu ,Vst,"to retain, to maintain","giữ lại, duy trì",6,
1-2,21,創新,chuàngxīn ,Vi,to innovate,đổi mới,6,
1-2,22,低價,dījià ,N,"low price, discount","giá thấp, giảm giá",6,
1-2,23,傾銷,qīngxiāo ,V,to dump (products),bán phá giá,6,
1-2,24,消滅,xiāomiè ,V,"to be eliminated, displaced","bị loại bỏ, bị thay thế",6,
1-2,1,俄國,Éguó ,,Russia,Nga,6,
1-2,2,巴西,Bāxī ,,Brazil,Brazil,6,
1-2,3,非洲,Fēizhōu ,,Africa,Châu Phi,6,
1-2,4,拉丁美洲,Lādīng Měizhōu ,,Latin America,Châu Mỹ Latinh,6,
1-3,1,遊艇,yóutǐng ,N,yacht,du thuyền,6,
1-3,2,五金,wǔjīn ,N,hardware (as in a hardware store and things found in a hardware store),phần cứng (như trong cửa hàng phần cứng),6,
1-3,3,達人,dárén ,N,expert,chuyên gia,6,
1-3,4,代言人,dàiyánrén ,N,spokesperson,người phát ngôn,6,
1-3,5,稱為,chēngwéi ,V,to be called,được gọi là,6,
1-3,6,精品,jīngpǐn ,N,quality product,sản phẩm chất lượng,6,
1-3,7,子弟,zǐdì ,N,children,trẻ em,6,
1-3,8,唯,wéi,Adv,only,"chỉ, duy nhất",6,
1-3,9,高工,gāogōng  ,N,vocational high school,trường trung học dạy nghề,6,
1-3,10,黑手,hēishǒu ,N,"work (that gets your hands dirty, like car mechanic)",công việc chân tay,6,
1-3,11,起家,qǐjiā ,Vi,make one’s fortune,làm giàu,6,
1-3,12,奮鬥(史),fèndòu(shǐ),Vi,"work hard, struggle; -史, -shǐ, N, history","làm việc chăm chỉ, đấu tranh; lịch sử",6,
1-3,13,營業額,yíngyè’é ,N,"turnover, business volume","doanh thu, khối lượng kinh doanh",6,
1-3,1,教部（＝教育部）,Jiàobù（＝Jiàoyùbù）,,Ministry of Education,Bộ Giáo dục,6,
1-3,2,曾信哲,Zēng Xìnzhé ,,"Mark Tseng (the chairman of ARITEX, specializes in the manufacturing of hardware accessories for luxury yachts)","Mark Tseng (Chủ tịch ARITEX, chuyên về sản xuất phụ kiện phần cứng cho du thuyền sang trọng)",6,
1-3,3,屏東,Píngdōng ,,"Pingtung, southern Taiwan","Pingtung, miền nam Đài Loan",6,
1-3,4,九如,Jiǔrú ,,"Jiuru, a village in Pingtung","Jiuru, một ngôi làng ở Pingtung",6,
2-1,1,洞察,dòngchá ,V,"to investigate, gain insight into","điều tra, tìm hiểu sâu về",6,
2-1,2,鍥而不舍/捨,qiè’ér bùshě,Id,"work unflaggingly, slog away, keep your nose to the grindstone, lit. chisel away incessantly","làm việc không ngừng nghỉ, cần mẫn làm việc",6,
2-1,3,專精,zhuānjīng ,Vs,"specialized, as an expert","chuyên môn, như một chuyên gia",6,
2-1,4,開創,kāichuàng ,V,to create,tạo ra,6,
2-1,5,契機,qìjī ,N,opportunity,cơ hội,6,
2-1,1,未必,wèibì ,Adv,not necessarily,không nhất thiết,6,
2-1,2,出發,chūfā ,Vi,to proceed from,xuất phát từ,6,
2-1,3,特殊,tèshū ,Vs ,"special, extraordinary","đặc biệt, phi thường",6,
2-1,4,群,qún,M,group of,nhóm,6,
2-1,5,突發奇想,túfā qíxiǎng,Ph,"to hit upon an extraordinary idea, have a flash of inspiration","nảy ra ý tưởng tuyệt vời, lóe lên cảm hứng",6,
2-1,6,原理,yuánlǐ ,N,"principle, theory","nguyên tắc, lý thuyết",6,
2-1,7,醫師,yīshī,N,doctor,"bác sĩ, tiến sĩ",6,
2-1,8,配,pèi ,V,"to get (glasses), to fill (a prescription), to mix and match (clothes) etc. (In this lesson, ‘to have eye-glasses fitted at an optical store, without a doctor’s prescription, a common practice in Taiwan.)","lấy (kính), pha (đơn thuốc), phối đồ (quần áo) (Trong bài, 'đi cắt kính mà không cần đơn của bác sĩ', một việc phổ biến ở Đài Loan.)",6,
2-1,9,眼鏡,yǎnjìng ,N,glasses,kính mắt,6,
2-1,10,相對,xiāngduì ,Adv,"relatively, by comparison","tương đối, khi so sánh",6,
2-1,11,窮困,qióngkùn ,Vs,"impoverished, destitute","nghèo khổ, bần cùng",6,
2-1,12,任務,rènwù ,N,mission,sứ mệnh,6,
2-1,13,估計,gūjì ,Vi,to estimate,ước tính,6,
2-1,14,發明,fāmíng ,V/N,to invent; invention,phát minh; sự phát minh,6,
2-1,15,自行,zìxíng,Adv,"by oneself, on one’s own","tự bản thân, một mình",6,
2-1,16,度數,dùshù ,N,"eyesight (prescription), (degree to which one’s vision needs correction)",thị lực (độ cận/viễn/loạn),6,
2-1,17,副,fù ,M,"measure for (bad) attitudes, ( high-brow) appearances, glasses","thước đo cho thái độ (xấu), vẻ bề ngoài (kênh kiệu), kính mắt",6,
2-1,18,鏡片,jìngpiàn ,N,lens,tròng kính,6,
2-1,19,充滿,chōngmǎn ,Vpt,filled with,chứa đầy,6,
2-1,20,液體,yìtǐ ,N,liquid,chất lỏng,6,
2-1,21,創見,chuàngjiàn ,N,original idea,ý tưởng ban đầu,6,
2-1,22,原始,yuánshǐ ,Vs,"original, primitive, primeval","nguyên bản, nguyên thủy",6,
2-1,23,出自,chūzì ,Vpt,to be from,đến từ,6,
2-1,24,儀器,yíqì ,N,instrument,"dụng cụ, thiết bị",6,
2-1,25,製造商,zhìzàoshāng ,N,manufacturer,nhà sản xuất,6,
2-1,26,矯正,jiǎozhèng ,V,"to correct, to straighten out (a deformation), correction","sửa chữa, điều chỉnh (một biến dạng), sự hiệu chỉnh",6,
2-1,27,視力,shìlì ,N,"vision, eyesight","tầm nhìn, thị lực",6,
2-1,28,大放光明,dàfàng guāngmíng,Ph,"shine forth in glory, have a great ray of light (in the text, it is a play on words)",tỏa sáng rực rỡ,6,
2-1,29,影像,yǐngxiàng ,N,image,hình ảnh,6,
2-1,30,開發中國家,kāifāzhōng guójiā,Ph,developing nation,quốc gia đang phát triển,6,
2-1,31,需求量,xūqiúliàng ,N,"level of demand (-量, -liàng, N, quantity)",mức độ nhu cầu,6,
2-1,32,極,jí ,Adv,"highly, extremely","rất, cực kỳ",6,
2-1,33,供不應求,gōngbú yìngqiú ,Id,supply cannot keep up with demand,cung không đủ cầu,6,
2-1,34,貢獻,gòngxiàn ,N,contribution,đóng góp,6,
2-1,35,根源,gēnyuán  ,N,source,nguồn,6,
2-1,36,從而,cóng’ér,Conj,"therefore, as a result","do đó, kết quả là",6,
2-1,37,人群,rénqún ,N,"crowd, the masses (people)","đám đông, quần chúng",6,
2-1,1,牛津大學,Niújīn Dàxué ,,Oxford University,Đại học Oxford,6,
2-1,2,喬許．席爾佛,Qiáoxǔ Xí’ěrfó ,,"Professor Joshua Silver (a UK physicist whose discoveries have included a new way to change the curvature of lenses, and the chief executive of the Centre for Vision in the Developing World at the University of Oxford)","Giáo sư Joshua Silver (nhà vật lý người Anh, Giám đốc điều hành Trung tâm Thị lực cho Thế giới Đang phát triển tại Đại học Oxford)",6,
2-2,1,場所,chǎngsuǒ ,N,"location, venue","địa điểm, nơi tổ chức",6,
2-2,2,照明,zhàomíng ,Vi,to illuminate,chiếu sáng,6,
2-2,3,習以為常,xíyǐ wéicháng,Id,"be used to, accustomed to, no stranger to","quen thuộc với, không xa lạ với",6,
2-2,4,電力,diànlì ,N,electric power,"điện lực, nguồn điện",6,
2-2,5,答案,dá’àn ,N,answer,câu trả lời,6,
2-2,6,入夜,rùyè ,Vp,"to enter nighttime, at nightfall","vào ban đêm, khi đêm xuống",6,
2-2,7,村落,cūnluò ,N,village,ngôi làng,6,
2-2,8,貼補家用,tiēbǔ jiāyòng,Ph,to help out with family expenses,giúp đỡ chi phí gia đình,6,
2-2,9,煤油燈,méiyóudēng ,N,kerosene lamp,đèn dầu,6,
2-2,10,有損,yǒusǔn ,Vst,"to cause damage to , be harmful to","gây tổn hại, có hại cho",6,
2-2,11,孩童,háitóng,N,child,đứa trẻ,6,
2-2,12,燃燒,ránshāo ,V,to burn,bị bỏng,6,
2-2,13,呼吸道,hūxīdào,N,respiratory tract,đường hô hấp,6,
2-2,14,單單,dāndān ,Adv,"alone, just, merely","chỉ, đơn thuần",6,
2-2,15,病症,bìngzhèng ,N,"sickness, disease",bệnh tật,6,
2-2,16,室內,shìnèi ,N,indoor,trong nhà,6,
2-2,17,照亮,zhàoliàng ,Vpt,"to light up, to illuminate","thắp sáng, chiếu sáng",6,
2-2,18,基金會,jījīnhuì ,N,foundation (organization),"tổ chức, quỹ",6,
2-2,19,接,jiē ,V,to connect (with),kết nối (với),6,
2-2,20,動用,dòngyòng ,V,"to disburse, mobilise","chi tiêu, huy động",6,
2-2,21,人力,rénlì ,N,manpower,nhân lực,6,
2-2,22,物力,wùlì ,N,"coined on the basis of人力, referring in this lesson to (heavy) equipment","được đặt ra dựa trên ""nhân lực"", chỉ (thiết bị hạng nặng)",6,
2-2,23,架設,jiàshè ,V,"to erect, to set up","dựng lên, lắp đặt",6,
2-2,24,電纜,diànlǎn ,N,electric cable,cáp điện,6,
2-2,25,工程,gōngchéng ,N,"(engineering) project, engineering","(dự án) kỹ thuật, công trình",6,
2-2,26,固態光源（SSL）,gùtài guāngyuán,Ph,solid state lighting,chiếu sáng trạng thái rắn,6,
2-2,27,簡稱,jiǎnchēng,N,abbreviation,viết tắt,6,
2-2,28,瓦,wǎ ,M,watt,watt,6,
2-2,29,日光板,rìguāngbǎn ,N,"solar panel (日光, rìguāng, N, sunlight ; 板, bǎn, N, board)",tấm pin mặt trời,6,
2-2,30,蓄電,xùdiàn ,Vs-sep,electric power storage,lưu trữ điện,6,
2-2,31,電池,diànchí ,N,battery,"pin, ắc quy",6,
2-2,32,發光二極體（LED）,fāguāng èrjítǐ,Ph,light emitting diode,điốt phát quang (LED),6,
2-2,33,系統,xìtǒng,N,system,hệ thống,6,
2-2,34,安裝,ānzhuāng ,V,to install,lắp đặt,6,
2-2,35,群眾,qúnzhòng ,N,"the masses, people, crowds","quần chúng, đám đông",6,
2-2,36,剝奪,bōduó ,V,to deprive (of),tước đoạt (khỏi),6,
2-2,37,文盲,wénmáng ,N,the illiterate,người mù chữ,6,
2-2,1,爾文．哈樂戴,Ěrwén Hālèdài ,,"Dave Irvine-Halliday (a Canadian photonics specialist, his Light Up the World (LUTW) project is to bring affordable lighting to the developing world through the introduction of solid state lighting (SSL) based on light emitting diodes (LEDs))","Dave Irvine-Halliday (chuyên gia quang tử người Canada, người sáng lập dự án ""Thắp sáng Thế giới"")",6,
2-2,2,卡加利大學,Kǎjiālì Dàxué ,,"University of Calgary, Canada","Đại học Calgary, Canada",6,
2-2,3,尼泊爾,Níbó’ěr ,,Nepal,Nepal,6,
2-2,4,喜馬拉雅山群,Xǐmǎlāyǎ  Shānqún ,,"Himalaya Mountains, the Himalayas",Dãy núi Himalaya,6,
3-1,1,前所未有,qiánsuǒ wèiyǒu,Id,"unprecedented, like never before","chưa từng có, như chưa từng thấy",6,
3-1,2,盡情,jìnqíng ,Adv,"to one’s heart’s content, without restraint","thỏa thích, không kiềm chế",6,
3-1,3,揮灑,huīsǎ ,Vi,to display without reservation,bộc lộ không giấu giếm,6,
3-1,1,舞蹈家,wǔdàojiā ,N,"professional and accomplished dancer (家, -jiā, N, -er, -ian, -ist)",vũ công chuyên nghiệp và tài năng,6,
3-1,2,描述,miáoshù ,V,to describe,miêu tả,6,
3-1,3,舞者,wǔzhě ,N,dancer,vũ công,6,
3-1,4,舞台,wǔtái ,N,stage (theatrical),"sân khấu (kịch, múa)",6,
3-1,5,舞碼,wǔmǎ ,N,program of a dance,chương trình múa,6,
3-1,6,傳人,chuánrén ,N,successor,người kế thừa,6,
3-1,7,芭蕾,bālěi,N,ballet,ba lê,6,
3-1,8,及格,jígé ,Vp,"to pass, satisfactory, meet the grade","đạt, thỏa mãn yêu cầu",6,
3-1,9,滿分,mǎnfēn ,N,"full marks, a perfect score",điểm tuyệt đối,6,
3-1,10,眾所皆知,zhòngsuǒ jiēzhī ,Id,"well-known, known by all","nổi tiếng, được mọi người biết đến",6,
3-1,11,大師,dàshī ,N,"master, great master","bậc thầy, chuyên gia lớn",6,
3-1,12,特地,tèdì ,Adv,"go out of one’s way, make it a point to, specially","cố ý, đặc biệt dành thời gian",6,
3-1,13,解散,jiěsàn ,V,"to disperse, to dissolve, to disband","giải tán, tan rã",6,
3-1,14,舞團,wǔtuán ,N,"dance troupe, dance company",đoàn múa,6,
3-1,15,邀約,yāoyuē ,N,Invitation,Lời mời,6,
3-1,16,培訓,péixùn ,V,to train,đào tạo,6,
3-1,17,無,wú ,Vst,"without, not have (classical Chinese)",không có (văn ngôn),6,
3-1,18,傳承,chuánchéng ,V,"to pass down, to pass along","truyền lại, truyền thụ",6,
